Date,High,Low,Open,Close,Volume,Adj Close
2000-01-04,6110.0,5660.0,6000.0,6110.0,74195000.0,4761.18310546875
2000-01-05,6060.0,5520.0,5800.0,5580.0,74680000.0,4348.18408203125
2000-01-06,5780.0,5580.0,5750.0,5620.0,54390000.0,4379.35400390625
2000-01-07,5670.0,5360.0,5560.0,5540.0,40305000.0,4317.015625
2000-01-10,5770.0,5580.0,5600.0,5770.0,46880000.0,4496.24072265625
2000-01-11,6100.0,5770.0,5820.0,5770.0,59745000.0,4496.24072265625
2000-01-12,5740.0,5600.0,5610.0,5720.0,29220000.0,4457.2783203125
2000-01-13,5740.0,5560.0,5600.0,5710.0,41190000.0,4449.48583984375
2000-01-14,5880.0,5680.0,5720.0,5830.0,49375000.0,4542.99560546875
2000-01-17,6180.0,5920.0,6000.0,6100.0,63505000.0,4753.39111328125
2000-01-18,6160.0,5980.0,6160.0,6100.0,45260000.0,4753.39111328125
2000-01-19,6040.0,5960.0,6000.0,5960.0,40205000.0,4644.29736328125
2000-01-20,6040.0,5820.0,5860.0,6040.0,37315000.0,4706.63916015625
2000-01-21,5980.0,5880.0,5950.0,5880.0,32535000.0,4581.95849609375
2000-01-24,5900.0,5700.0,5800.0,5700.0,34355000.0,4441.69384765625
2000-01-25,5640.0,5440.0,5520.0,5440.0,44250000.0,4239.09033203125
2000-01-26,5520.0,5410.0,5500.0,5480.0,29285000.0,4270.259765625
2000-01-27,5620.0,5430.0,5480.0,5520.0,27900000.0,4301.42822265625
2000-01-28,5880.0,5540.0,5640.0,5820.0,38315000.0,4535.20458984375
2000-01-31,5730.0,5560.0,5640.0,5580.0,39630000.0,4348.18408203125
2000-02-01,5680.0,5260.0,5600.0,5320.0,71470000.0,4145.58154296875
2000-02-02,5370.0,5110.0,5220.0,5250.0,64105000.0,4091.034423828125
2000-02-03,5460.0,4970.0,5250.0,5130.0,142765000.0,3997.524658203125
2000-02-04,5130.0,5130.0,5130.0,5130.0,0.0,3997.524658203125
2000-02-07,5330.0,5040.0,5140.0,5240.0,64140000.0,4083.239990234375
2000-02-08,5480.0,5310.0,5340.0,5430.0,58460000.0,4231.29833984375
2000-02-09,5720.0,5480.0,5560.0,5720.0,51050000.0,4457.2783203125
2000-02-10,5880.0,5600.0,5660.0,5760.0,61845000.0,4488.44775390625
2000-02-11,5960.0,5680.0,5960.0,5700.0,34660000.0,4441.69384765625
2000-02-14,5660.0,5340.0,5600.0,5380.0,44140000.0,4192.3349609375
2000-02-15,5420.0,5140.0,5380.0,5200.0,38315000.0,4052.070556640625
2000-02-16,5200.0,4780.0,5180.0,5000.0,73115000.0,3896.22265625
2000-02-17,5100.0,4910.0,4940.0,5080.0,65185000.0,3958.561767578125
2000-02-18,5630.0,5160.0,5370.0,5300.0,108750000.0,4129.99609375
2000-02-21,5260.0,5030.0,5200.0,5070.0,26485000.0,3950.769775390625
2000-02-22,5240.0,5000.0,5000.0,5120.0,24180000.0,3989.732177734375
2000-02-23,5260.0,5100.0,5220.0,5140.0,27720000.0,4005.3154296875
2000-02-24,5240.0,5060.0,5120.0,5070.0,26075000.0,3950.769775390625
2000-02-25,5150.0,4980.0,5080.0,5120.0,27875000.0,3989.732177734375
2000-02-28,5050.0,4800.0,5000.0,4800.0,30140000.0,3740.3740234375
2000-02-29,5140.0,4840.0,4900.0,5120.0,51820000.0,3989.732177734375
